organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act	number_records	gb_records	bags_grade	species_status	bin_uris	otu_ids	other_names
NBNORG0000123680	NHMSYS0021184833	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Onoba	Onoba islandica	(Friele, 1886)	Species					Y																																							0	0	F	BLACK			
NBNORG0000113852	NHMSYS0021055529	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Onoba	Onoba lincta	(Watson, 1873)	Species					Y																																							0	0	F	BLACK			
NBNORG0000063209	NHMSYS0000561284	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Onoba	Onoba lirata		Species					Y																																							0	0	F	BLACK			
NBNORG0000113851	NHMSYS0021055530	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Onoba	Onoba mighelsii	(Stimpson, 1851)	Species	Onoba mighelsi				Y																																							0	0	F	BLACK			
NBNORG0000031347	NBNSYS0000176843	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae	Onoba	Onoba semicostata	(Montagu, 1803)	Species	Cingula semicostata				Y																																							0	0	F	BLACK			
NBNORG0000055513	NHMSYS0000461186	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Onobrychis	Onobrychis aequidentata	(Sibth. & Sm.) d'Urv.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000046586	NBNSYS0200002737	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Onobrychis	Onobrychis alba	(Waldst. & Kit.) Desv.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000046587	NBNSYS0200002738	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Onobrychis	Onobrychis caput-galli	(L.) Lam.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000046588	NBNSYS0200002739	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Onobrychis	Onobrychis crista-galli	(L.) Lam.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000007825	NBNSYS0000003279	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Onobrychis	Onobrychis viciifolia	Scop.	Species	Onobrychis onobrychis;Onobrychis sativa;Onobrychis viciifolia subsp. collina		Y																										RedList_ENG_post2001-VU,RedList_GB_post2001-VU															0	0	F	BLACK			
NBNORG0000007078	NBNSYS0000002035	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Onocleaceae	Onoclea	Onoclea sensibilis	L.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000108016	NHMSYS0100002175	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis alopecuroides	L.	Species	Ononis baetica;Ononis salzmanniana	Y	Y																																									0	0	F	BLACK			
NBNORG0000023502	NBNSYS0000034148	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis baetica	Clemente	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000029089	NBNSYS0000164160	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis hackelii	Lange	Species		Y																																										0	0	F	BLACK			
NBNORG0000028753	NBNSYS0000163689	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis maweana	Ball	Species		Y																																										0	0	F	BLACK			
NBNORG0000023275	NBNSYS0000033346	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis mitissima	L.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000013406	NBNSYS0000014703	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis natrix	L.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000137856	NHMSYS0021873217	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis procurrens	Wallr.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000007775	NBNSYS0000003218	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis reclinata	L.	Species																													RedList_ENG_post2001-VU,RedList_GB_post2001-LC				NR-excludes			Scottish_Biodiversity_List			WACA-Sch8					0	0	F	BLACK			
NBNORG0000007773	NBNSYS0000003215	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis repens	L.	Species	Ononis repens subsp. maritima;Ononis repens subsp. repens																												RedList_ENG_post2001-LC,RedList_GB_post2001-LC															0	0	F	BLACK			
NBNORG0000055518	NHMSYS0000461195	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis serrata	Forssk.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000007774	NBNSYS0000003217	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis spinosa	L.	Species	Ononis campestris;Ononis repens subsp. spinosa																												RedList_ENG_post2001-NT,RedList_GB_post2001-LC							Scottish_Biodiversity_List								0	0	F	BLACK			
NBNORG0000046589	NBNSYS0200002741	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Ononis	Ononis viscosa	L.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000008603	NBNSYS0000004499	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Onopordum	Onopordum acanthium	L.	Species		Y	Y																										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															0	0	F	BLACK			
NBNORG0000029218	NBNSYS0000173067	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Onopordum	Onopordum carduelium	Bolle	Species	Onopordum carduelinum	Y																																										0	0	F	BLACK			
NBNORG0000046590	NBNSYS0200002742	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Onopordum	Onopordum illyricum	L.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000046591	NBNSYS0200002743	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Onopordum	Onopordum macracanthum	Boiss.	Species		Y	Y																																									0	0	F	BLACK			
NBNORG0000108017	NHMSYS0100002179	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Onopordum	Onopordum nervosum	Boiss.	Species		Y	Y																																									0	0	F	BLACK			
